Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt4154756,2018-04-26,2018-04-26,,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,movie,8.5,149,2018,"Action, Adventure, Fantasy, Sci-Fi",581400,2018-04-23,"Anthony Russo, Joe Russo"
2,tt4912910,2018-07-27,2018-07-27,,Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/,movie,7.8,147,2018,"Action, Adventure, Thriller",212562,2018-07-12,Christopher McQuarrie
3,tt4633694,2018-12-13,2018-12-13,,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,movie,8.7,117,2018,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",92688,2018-12-06,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
4,tt2798920,2018-02-23,2018-02-23,,Annihilation,https://www.imdb.com/title/tt2798920/,movie,6.9,115,2018,"Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",209471,2018-02-13,Alex Garland
5,tt1517451,2018-10-06,2018-10-06,,A Star Is Born,https://www.imdb.com/title/tt1517451/,movie,7.9,136,2018,"Drama, Music, Romance",170266,2018-08-31,Bradley Cooper
6,tt7349662,2018-08-14,2018-08-14,,BlacKkKlansman,https://www.imdb.com/title/tt7349662/,movie,7.5,135,2018,"Biography, Crime, Drama",100962,2018-05-14,Spike Lee
7,tt1213641,2018-10-12,2018-10-12,,First Man,https://www.imdb.com/title/tt1213641/,movie,7.4,141,2018,"Biography, Drama, History",91485,2018-08-29,Damien Chazelle
8,tt1825683,2018-02-16,2018-02-16,,Black Panther,https://www.imdb.com/title/tt1825683/,movie,7.4,134,2018,"Action, Adventure, Sci-Fi",457195,2018-01-29,Ryan Coogler
9,tt1677720,2018-03-29,2018-03-29,,Ready Player One,https://www.imdb.com/title/tt1677720/,movie,7.5,140,2018,"Action, Adventure, Sci-Fi",275557,2018-03-11,Steven Spielberg
10,tt2704998,2018-02-23,2018-02-23,,Game Night,https://www.imdb.com/title/tt2704998/,movie,7.0,100,2018,"Action, Comedy, Crime, Mystery",148181,2018-02-15,"Jonathan Goldstein, John Francis Daley"
11,tt7242142,2018-12-12,2018-12-12,,Blindspotting,https://www.imdb.com/title/tt7242142/,movie,7.4,95,2018,"Comedy, Crime, Drama",13023,2018-01-18,Carlos Lopez Estrada
12,tt6628394,2018-10-13,2018-10-13,,Bad Times at the El Royale,https://www.imdb.com/title/tt6628394/,movie,7.2,141,2018,"Crime, Drama, Mystery, Thriller",63334,2018-09-27,Drew Goddard
13,tt7125860,2019-01-10,2019-01-10,,If Beale Street Could Talk,https://www.imdb.com/title/tt7125860/,movie,7.6,119,2018,"Crime, Drama, Romance",8640,2018-09-09,Barry Jenkins
14,tt6499752,2018-06-01,2018-06-01,,Upgrade,https://www.imdb.com/title/tt6499752/,movie,7.6,100,2018,"Action, Sci-Fi, Thriller",88480,2018-03-10,Leigh Whannell
15,tt4530422,2018-11-09,2018-11-09,,Overlord,https://www.imdb.com/title/tt4530422/,movie,7.0,110,2018,"Action, Adventure, Horror, Mystery, Sci-Fi, War",23983,2018-09-22,Julius Avery
16,tt6343314,2018-11-20,2018-11-20,,Creed II,https://www.imdb.com/title/tt6343314/,movie,7.6,130,2018,"Drama, Sport",34038,2018-11-14,Steven Caple Jr.
17,tt6644200,2018-04-06,2018-04-06,,A Quiet Place,https://www.imdb.com/title/tt6644200/,movie,7.6,90,2018,"Drama, Horror, Mystery, Sci-Fi, Thriller",271313,2018-03-09,John Krasinski
18,tt7040874,2018-09-14,2018-09-14,,A Simple Favor,https://www.imdb.com/title/tt7040874/,movie,6.9,117,2018,"Comedy, Crime, Drama, Mystery, Thriller",66300,2018-09-10,Paul Feig
19,tt5848272,2018-11-21,2018-11-21,,Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/,movie,7.3,112,2018,"Animation, Adventure, Comedy, Family, Fantasy",44253,2018-11-05,"Rich Moore, Phil Johnston"
20,tt4468740,2018-02-14,2018-02-14,,Paddington 2,https://www.imdb.com/title/tt4468740/,movie,7.9,103,2017,"Adventure, Comedy, Family, Fantasy",42803,2017-11-05,Paul King
21,tt7681902,2018-09-22,2018-09-22,,Won't You Be My Neighbor?,https://www.imdb.com/title/tt7681902/,movie,8.5,94,2018,"Documentary, Biography",13038,2018-01-19,Morgan Neville
22,tt3104988,2018-08-16,2018-08-16,,Crazy Rich Asians,https://www.imdb.com/title/tt3104988/,movie,7.0,120,2018,"Comedy, Romance",76888,2018-08-07,Jon M. Chu
23,tt2854926,2018-06-07,2018-06-07,,Tag,https://www.imdb.com/title/tt2854926/,movie,6.6,100,2018,Comedy,70370,2018-06-14,Jeff Tomsic
24,tt3606756,2018-06-13,2018-06-13,,Incredibles 2,https://www.imdb.com/title/tt3606756/,movie,7.8,118,2018,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",172864,2018-06-05,Brad Bird
25,tt4701182,2018-12-21,2018-12-21,,Bumblebee,https://www.imdb.com/title/tt4701182/,movie,7.1,114,2018,"Action, Adventure, Sci-Fi",48492,2018-12-03,Travis Knight
26,tt7668870,2018-09-01,2018-09-01,,Searching,https://www.imdb.com/title/tt7668870/,movie,7.7,102,2018,"Drama, Mystery, Thriller",77442,2018-01-21,Aneesh Chaganty
27,tt5580266,2018-10-19,2018-10-19,,The Hate U Give,https://www.imdb.com/title/tt5580266/,movie,7.1,133,2018,"Crime, Drama",11676,2018-09-07,George Tillman Jr.
28,tt7401588,2018-11-23,2018-11-23,,Instant Family,https://www.imdb.com/title/tt7401588/,movie,7.6,118,2018,"Comedy, Drama, Family",9693,2018-11-16,Sean Anders
29,tt6155172,2018-12-14,2018-12-14,,Roma,https://www.imdb.com/title/tt6155172/,movie,8.0,135,2018,Drama,69336,2018-08-30,Alfonso Cuaron
30,tt1727824,2018-11-02,2018-11-02,,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,movie,8.2,134,2018,"Biography, Drama, Music",234754,2018-10-23,Bryan Singer
31,tt1477834,2018-12-15,2018-12-15,,Aquaman,https://www.imdb.com/title/tt1477834/,movie,7.4,143,2018,"Action, Adventure, Fantasy, Sci-Fi",159397,2018-11-26,James Wan
